id,name,category,price,description,tags,rating,views,purchases
1,Wireless Headphones,Electronics,99.99,Premium wireless headphones with noise cancellation,audio wireless bluetooth noise-cancellation music,4.5,1200,450
2,Smart Watch,Electronics,199.99,Fitness tracking smartwatch with heart rate monitor,wearable fitness health tracking smart-device,4.3,1500,380
3,Running Shoes,Sports,89.99,Lightweight running shoes with cushioned sole,sports running footwear athletic comfort,4.7,2000,850
4,Coffee Maker,Home & Kitchen,79.99,Programmable coffee maker with timer,kitchen appliance coffee brewing morning,4.2,900,320
5,Gaming Laptop,Electronics,1299.99,High-performance gaming laptop with RTX graphics,gaming computer laptop rtx performance,4.8,3000,250
6,Yoga Mat,Sports,29.99,Non-slip yoga mat with carrying strap,yoga fitness exercise mat workout,4.4,800,420
7,Smart LED Bulb,Home & Kitchen,19.99,WiFi-enabled color changing smart bulb,smart-home lighting led wifi automation,4.1,1100,580
8,Backpack,Fashion,49.99,Water-resistant laptop backpack with USB port,bag travel laptop fashion accessories,4.6,1800,760
9,Digital Camera,Electronics,599.99,Mirrorless digital camera with 4K video,camera photography video digital mirrorless,4.7,2200,180
10,Air Purifier,Home & Kitchen,149.99,HEPA air purifier for large rooms,air-quality home health filter clean,4.5,950,340
11,Protein Powder,Health & Nutrition,39.99,Whey protein powder for muscle recovery,fitness health protein supplement nutrition,4.3,1600,890
12,Robot Vacuum,Home & Kitchen,299.99,Smart robot vacuum with mapping technology,cleaning smart-home robot automation vacuum,4.4,1700,290
13,Mechanical Keyboard,Electronics,129.99,RGB mechanical gaming keyboard with Cherry MX switches,gaming keyboard mechanical rgb peripherals,4.6,2100,420
14,Wireless Earbuds,Electronics,159.99,True wireless earbuds with active noise cancellation,audio wireless earbuds bluetooth portable,4.4,2500,680
15,Yoga Blocks Set,Sports,24.99,High-density foam yoga blocks with strap,yoga fitness exercise props support,4.2,600,280
16,Smart Thermostat,Home & Kitchen,179.99,WiFi-enabled smart thermostat with energy saving features,smart-home temperature automation energy-saving,4.7,1400,220
17,Hiking Boots,Sports,149.99,Waterproof hiking boots with ankle support,hiking outdoor footwear waterproof adventure,4.8,1900,340
18,Blender,Home & Kitchen,89.99,High-speed blender for smoothies and shakes,kitchen appliance blender smoothie cooking,4.3,1300,450
19,Wireless Mouse,Electronics,49.99,Ergonomic wireless mouse with programmable buttons,computer mouse wireless ergonomic accessories,4.5,2000,890
20,Resistance Bands,Sports,19.99,Set of 5 resistance bands with different strengths,fitness exercise resistance-bands workout,4.4,1200,760
21,Smart Security Camera,Electronics,129.99,WiFi security camera with motion detection,security camera smart-home surveillance,4.6,1800,320
22,Weighted Blanket,Home & Kitchen,69.99,15 lb weighted blanket for better sleep,sleep comfort bedding relaxation,4.5,950,280
23,Bluetooth Speaker,Electronics,79.99,Portable waterproof bluetooth speaker,audio speaker bluetooth portable waterproof,4.3,2200,560
24,Dumbbells Set,Sports,199.99,Adjustable dumbbells set 5-52.5 lbs,fitness weights exercise strength-training,4.8,1600,240
25,Air Fryer,Home & Kitchen,119.99,Digital air fryer with multiple cooking presets,kitchen appliance cooking healthy air-fryer,4.7,2800,720
26,Gaming Mouse,Electronics,89.99,High-DPI gaming mouse with programmable buttons,gaming mouse rgb peripherals,4.6,2400,480
27,Yoga Towel,Sports,34.99,Non-slip hot yoga towel with corner pockets,yoga fitness towel grip sweat,4.2,700,320
28,Smart Scale,Health & Nutrition,49.99,Bluetooth smart scale with body composition analysis,health fitness scale measurement smart-device,4.4,1500,420
